incident_id,date,n_killed,n_injured,latitude,longitude,n_guns_involved,participan_age,participant_gendre,participant_status,,,,,,,,,,,,,,,,,,,,,,,,,,
139435,27/05/2014,0,1,0.399091123,0.868045887,1,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
141635,27/05/2014,1,0,0.517018724,0.823634573,0,0::59||1::21||2::25,0::Male||1::Male||2::Male,"0::Killed||1::Unharmed, Arrested||2::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
574228,27/05/2014,1,0,0.517018724,0.823634573,1,0::26,0::Male||1::Male,"0::Killed||1::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
140288,27/05/2014,1,2,0.481861734,0.738086276,1,0::28||3::21||4::25,0::Male||1::Male||2::Male||3::Male||4::Male,"0::Killed||1::Injured||2::Injured||3::Unharmed, Arrested||4::Unharmed, Arrested",,,,,,,,,,,,,,,,,,,,,,,,,,
141671,27/05/2014,0,1,0.460689003,0.763787877,0,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139898,27/05/2014,0,0,0.750802697,0.419894963,0,1::30,1::Male,1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
141640,27/05/2014,0,1,0.461417398,0.763462352,0,0::40,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
222847,27/05/2014,0,1,0.643436053,0.947808965,0,0::22||1::21,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139731,27/05/2014,1,0,0.453052406,0.673723588,0,1::20,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
140495,27/05/2014,1,0,0.612030374,0.917282813,0,1::20,0::Male,0::Killed,,,,,,,,,,,,,,,,,,,,,,,,,,
163437,27/05/2014,0,0,0.426435962,0.686219705,0,0::31||1::41,0::Female||1::Male,0::Unharmed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139729,27/05/2014,1,0,0.454007173,0.674489154,0,1::20,0::Male||1::Male,0::Killed||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
146947,27/05/2014,0,0,0.41690523,0.844494657,0,0::18,0::Male||1::Male||2::Male,0::Unharmed||1::Unharmed||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140488,27/05/2014,0,1,0.596028785,0.761396808,0,1::20,0::Male||1::Male,0::Injured||1::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
139535,27/05/2014,0,2,0.663309069,0.785551372,0,0::17||1::19||2::19,0::Female||1::Female||2::Male,0::Injured||1::Injured||2::Unharmed,,,,,,,,,,,,,,,,,,,,,,,,,,
140163,27/05/2014,0,1,0.65456833,0.73940746,0,1::20,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
146949,27/05/2014,0,1,0.542041323,0.861694446,0,0::22,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
139528,27/05/2014,0,1,0.645243951,0.788020906,0,0::19,0::Male,0::Injured,,,,,,,,,,,,,,,,,,,,,,,,,,
